start,goal,length,capacity,street,n_direction,hodou,width,cross_node,from_,to_
313,1355,172.263,80.0,市道1324号線,2,1,3.6,0,63,255
313,314,67.298,50.0,市道1323号線,2,1,3.5,0,63,64
313,8,140.489,1582.0,市道1324号線,2,0,5.7,0,63,3
314,313,67.298,50.0,市道1323号線,2,1,3.5,0,64,63
314,266,113.866,1192.0,市道1321号線,1,1,3.7,0,64,58
359,206,90.291,1669.0,市道1210号線,2,1,7.7,0,65,40
359,1185,1.754,50.0,市道1208号線,2,1,3.5,0,65,218
359,1186,163.294,50.0,市道1208号線,2,1,2.5,0,65,219
379,115,210.01,650.0,市道1139号線,2,0,5.5,0,66,20
379,1449,140.64,1645.0,市道1139号線,2,0,6.0,0,66,273
379,611,178.02,620.0,市道1136号線,2,1,5.4,0,66,103
382,647,46.729,13200.0,国道254号線,2,0,24.0,1,67,108
382,383,239.744,7373.513414,市道1135号線,2,0,15.41115523,0,67,68
382,611,182.592,620.0,市道1136号線,2,1,5.4,0,67,103
383,611,108.066,200.0,市道1132号線,2,1,4.0,0,68,103
383,382,239.744,7373.513414,国道254号線,2,0,15.41115523,1,68,67
383,1449,278.41,376.1671635,市道1135号線,2,1,4.587223878,1,68,273
402,761,43.071,1750.0,初雁城通り_4,2,0,9.0,1,69,137
402,1003,23.156,1750.0,初雁城通り_4,2,0,9.0,1,69,192
409,415,23.132,500.0,市道1226号線,2,1,5.0,0,70,73
409,609,81.376,230.0,市道1251号線,2,1,4.1,0,70,102
409,757,265.162,377.4801819,市道1226号線,2,1,4.591600606,0,70,134
410,609,129.093,230.0,市道1251号線,2,1,4.1,0,71,102
410,1,135.774,230.0,市道1251号線,2,1,4.1,0,71,1
410,960,184.915,650.0,市道1239号線,2,1,5.5,0,71,170
562,752,162.513,1750.0,県道15号線_11,2,0,10.0,1,95,130
411,645,42.095,650.0,市道1454号線,2,1,5.5,0,72,107
411,986,93.012,590.0,市道1251号線,2,1,5.3,0,72,179
411,415,598.653,12548.00452,国道254号線,2,0,24.0,1,72,73
415,409,23.132,500.0,市道1226号線,2,1,5.0,0,73,70
415,221,347.622,13200.0,国道254号線,2,0,24.0,1,73,46
752,562,162.513,1750.0,県道15号線_11,2,0,10.0,1,130,95
434,95,50.34,1750.0,市道6号線_3,2,1,11.0,1,74,12
434,837,105.003,1750.0,市道6号線_3,2,1,11.0,1,74,157
434,878,132.421,1192.0,市道1439号線,1,1,4.0,0,74,158
436,1254,104.498,1750.0,市道6号線_1,2,0,9.0,1,75,237
436,437,91.051,1750.0,市道6号線_1,2,0,12.5,1,75,76
437,70,94.139,1750.0,市道8号線_1,2,0,10.0,1,76,8
437,436,91.051,1750.0,市道6号線_1,2,0,12.5,1,76,75
440,760,65.886,1669.0,市道2号線,2,1,7.0,0,77,136
440,122,88.209,1669.0,市道2号線,2,1,7.0,0,77,23
444,1286,8.631,1509.0,市道1315号線,1,1,5.7,0,78,247
444,1281,167.052,1723.089703,市道1314号線,2,0,7.467441874,0,78,246
458,508,54.422,1509.0,市道1440号線,2,1,5.7,0,79,84
458,714,87.549,1529.0,市道1437号線,2,1,5.8,0,79,116
458,529,121.593,1529.0,市道1437号線,2,1,5.8,0,79,87
458,831,129.691,1509.0,市道1440号線,2,1,5.7,0,79,155
464,975,95.061,1569.0,市道1441号線,1,1,6.0,0,80,172
464,470,25.602,1669.0,市道1415号線,2,1,9.0,0,80,82
464,729,416.235,1669.0,市道1415号線,2,1,8.258560669,0,80,122
466,831,123.349,1509.0,市道1434号線,2,1,5.7,0,81,155
466,715,178.385,1509.0,市道1434号線,2,1,5.7,0,81,117
466,836,120.678,1645.0,市道4号線,1,0,6.0,0,81,156
470,464,25.602,1669.0,市道1415号線,2,1,9.0,0,82,80
470,473,140.042,1669.0,市道1415号線,2,1,12.41014124,0,82,83
470,754,287.753,1669.0,市道1401号線,2,1,10.0558199,0,82,132
473,979,52.636,1750.0,市道4号線,2,0,7.8,0,83,175
473,470,140.042,1669.0,市道1415号線,2,1,12.41014124,0,83,82
508,458,54.422,1509.0,市道1440号線,2,1,5.7,0,84,79
508,714,100.298,1750.0,市道6号線_4,2,0,10.0,1,84,116
508,713,146.263,1750.0,市道6号線_4,2,0,7.478336968,1,84,115
516,821,61.353,1669.0,市道1157号線,2,1,9.5,0,85,149
516,1403,58.53,1750.0,市道1157号線,2,0,10.0,0,85,263
523,997,64.452,1669.0,市道2号線,2,1,7.0,0,86,186
523,757,264.397,200.0,市道1226号線,2,1,4.0,0,86,134
523,980,87.968,1669.0,市道2号線,2,1,7.0,0,86,176
529,885,93.132,1529.0,市道1437号線,2,1,5.8,0,87,159
529,458,121.593,1529.0,市道1437号線,2,1,5.8,0,87,79
529,713,131.753,1645.0,市道5号線_1,2,0,6.0,1,87,115
529,991,129.881,1645.0,市道5号線_1,2,0,6.0,1,87,181
535,755,118.089,440.0,市道1388号線,2,1,4.8,0,88,133
535,538,38.955,50.0,市道1390号線(付属),2,1,2.0,0,88,89
535,1276,134.431,440.0,市道1388号線,2,1,4.8,0,88,242
538,547,118.036,1509.0,市道1390号線,2,1,5.7,0,89,92
538,535,38.955,50.0,市道1390号線(付属),2,1,2.0,0,89,88
538,541,92.221,403.8826298,市道1393号線,2,1,4.679608766,0,89,90
541,990,117.888,410.0,市道1393号線,2,1,4.7,0,90,180
